name,slug,url,domain
NVIDIA Corporation,nvidia,https://nvidia.eightfold.ai/careers,
Netflix,netflix,https://explore.jobs.netflix.net/careers,netflix.com
Microsoft,microsoft,https://microsoft.eightfold.ai/careers,
PayPal,paypal,https://paypal.eightfold.ai/careers,
Twilio,twilio,https://twilio.eightfold.ai/careers,
NetApp,netapp,https://netapp.eightfold.ai/careers,netapp.com
Micron Technology,micron,https://micron.eightfold.ai/careers,
Qualcomm,qualcomm,https://qualcomm.eightfold.ai/careers,
Match Group,gotinder,https://gotinder.eightfold.ai/careers,
MercadoLibre,mercadolibre,https://mercadolibre.eightfold.ai/careers,
Millennium,mlp,https://career.mlp.com/careers,mlp.com
Dolby,dolby,https://dolby.eightfold.ai/careers,
Applied Materials,appliedmaterials,https://appliedmaterials.eightfold.ai/careers,
Lam Research,lamresearch,https://lamresearch.eightfold.ai/careers,
GlobalFoundries,globalfoundries,https://globalfoundries.eightfold.ai/careers,globalfoundries.com
Ericsson,ericsson,https://ericsson.eightfold.ai/careers,
Deutsche Telekom,telekom-growthhub,https://telekom-growthhub.eightfold.ai/careers,
Vodafone,vodafone,https://vodafone.eightfold.ai/careers,
Amdocs,amdocs,https://amdocs.eightfold.ai/careers,
Eightfold,app,https://app.eightfold.ai/careers,eightfold.ai
Trimble,trimble,https://trimble.eightfold.ai/careers,
PTC,ptc,https://ptc.eightfold.ai/careers,
CoStar Group,costar,https://costar.eightfold.ai/careers,
UKG,ukg,https://ukg.eightfold.ai/careers,
Morgan Stanley,morganstanley,https://morganstanley.eightfold.ai/careers,
Citi,citi,https://citi.eightfold.ai/careers,
HSBC,hsbc,https://hsbc.eightfold.ai/careers,
